id,cod_emprestimo,cod_material
9886363,3554003730600242,492880838
8657811,374987017339439,54458300
8421306,3559611368949379,636294123
9128884,3544962033822808,30142332
5718443,5490109941487279,21220121
3929671,3584662957500205,492880435
6838080,3577261069307986,763293012
8329192,30513701846855,759160636
5299051,6706207125800818,620110148
6721461,3545835213211001,65954064
3574553,5010129662856545,63187090
2164885,5100133875440031,53746119
5511699,6334518278782243,06034214
3861770,201801372112068,68084272
2569955,4508856260794049,42361005
3506524,3540506302182248,575200186
4011912,36172386939594,575200105
5077754,5602220208288964,03380013
7859233,3582261870401880,55878106
7003931,3529292961248506,595355011
3221609,3573422901524808,04303030
5602330,3572196738613031,06030842
8410056,342367709609077,500510018
3262869,374283197362387,00318735
7701927,3563965472029682,53389311
5227575,5007665475857357,551544326
4312353,3558698947101912,51285523
9309460,4041595039918,49349225
9209221,6767338735089601555,118221683
3053926,5100142539457901,67046311
4470217,3570913801391994,56062602
5299051,6706207135800818,620110148
5299051,67062075800818,620110148
5299051,6706207125818,620110148
5299051,06207125800818,620110148
5299051,670620725800818,620110148
5299051,67062071818,620110148
5299051,6706203325800818,620110148
5299051,670620818,620110148
5299051,6706125800818,620110148
