Data_emprestimo,Data_devolucao,Cod
13/7/2021,3/10/2022,3554003730600242
14/1/2021,30/4/2022,4041376997689812
31/1/2021,,3551866480872721
13/8/2021,3/6/2022,3528657159424997
6/7/2021,,3549621803828438
5/9/2021,2/4/2022,589345637192682784
4/10/2021,4/9/2022,5108750958869653
24/8/2021,,490324869802558460
15/9/2021,19/2/2022,3543122336032768
30/3/2021,3/9/2022,6304382135128082759
16/10/2021,,3557826773515233
28/4/2021,,3567301878953174
21/8/2021,,3541884291408034
12/12/2021,,374622925321084
3/5/2021,,3559112455236697
25/11/2021,,5002353337734198
30/8/2021,21/7/2022,4917237580924035
22/1/2021,,5162431108707605
8/10/2021,11/8/2022,374987017339439
1/8/2021,,675912319247960719
24/9/2021,31/8/2022,3539865219793684
4/9/2021,,5893363016567761
23/3/2021,,676170276081833078
8/7/2021,,3559611368949379
22/11/2021,,6394705688201727
25/1/2021,,3540546762614488
25/12/2021,30/6/2022,3544962033822808
19/2/2021,13/2/2022,3577472569163957
3/4/2021,30/8/2022,5490109941487279
11/11/2021,,560222949001414591
27/12/2021,,3584662957500205
31/12/2021,,3579162371473813
26/9/2021,8/8/2022,3533108480341875
24/11/2021,2/4/2022,3577261069307986
4/12/2021,,5038440950967532
7/12/2021,19/3/2022,30513701846855
27/3/2021,,6706207125800818
4/7/2021,27/6/2022,6771571727679145612
16/7/2021,26/5/2022,3545835213211001
30/4/2021,,3535658121761335
17/8/2021,10/3/2022,5209082107167054
10/4/2021,,3567539793698271
26/10/2021,4/2/2022,3539412872443594
24/7/2021,19/9/2022,4175005079606109
18/3/2021,26/6/2022,5602225533319756
22/10/2021,30/8/2022,374288959696047
28/3/2021,25/6/2022,5602251733301816
17/2/2021,26/5/2022,5100133875440031
30/3/2021,11/3/2022,5010129662856545
14/8/2021,,3579315014065509
30/6/2021,,3532165869471914
11/4/2021,23/6/2022,490549728192275706
15/10/2021,26/5/2022,4917822335494176
10/8/2021,16/4/2022,3558342015799162
30/1/2021,1/8/2022,6399642643256311
29/5/2021,1/5/2022,3574551976948622
25/2/2021,13/9/2022,201801372112068
5/5/2021,,6334518278782243
19/9/2021,,3563234401570625
1/7/2021,16/4/2022,67634439189694360
31/12/2021,14/6/2022,3529385919320029
16/7/2021,25/8/2022,201687787284802
20/8/2021,,30245331051826
11/3/2021,,4913325105318363
24/6/2021,,201728701946264
17/9/2021,,5602239245658286
14/10/2021,22/3/2022,4508856260794049
6/11/2021,24/9/2022,3540506302182248
22/4/2021,31/8/2022,36172386939594
9/6/2021,,5602220208288964
21/9/2021,13/9/2022,3582261870401880
8/11/2021,19/6/2022,3585092744922232
27/9/2021,18/4/2022,633110908416117876
24/5/2021,,3533439367714359
7/3/2021,,378715353159392
20/7/2021,,201640529399289
15/6/2021,7/5/2022,501880469917571100
4/3/2021,,5002355423146179
14/1/2021,,3540985293323799
