id_dia,horario_inicio
5602223378246549,M3
3587825648683311,N2
3572179694651138,T4
201983378819969,M3
6759623224399812583,N5
3545640585929291,M5
3574381586600235,M1
374622975005371,M6
56022365252808103,T6
5602224273656534592,T4
201982280038080,M1
5231079778676548,M4
5516056361184094,M5
5602259242245515,T1
3578047923102492,T3
3579272108195207,M4
5010129942642244,M1
5602233987187018,T4
3543971665933834,M1
3535003698790526,N4
355415,N1
490546971336401241,M2
5100175307789642,N5
5100135173443187,T6
4041372097642,N1
3575625235232819,M1
3551865470231153,T1
3577943352232597,N2
3550857380791567,T6
30482884264981,T5
4936965580740700013,M3
63349115,M2
375958551667542,N4
3571016431591568,M3
3552519736915765,N5
3531294531919851,N3
3572687060871056,N3
5159066811699023,N4
5038346015190913,N2
6761791388025637,M6
5010128594879484,M5
5248984604260295,M2
3556607182608806,N4
3588777045248082,M5
4405995076409162,M5
201578918152424,M6
3533186541738008,M3
3580303827639287,T6
201423675503214,N4
51076115,T2
35700315,T4
5108756306506483,M1
3553652999529723,N3
3573726870785244,M2
56022473155003911,N2
3543028815287049,T6
6334253712898540902,N4
5641821014496148,N4
3571730191597116,M3
4026028846756941,N3
3563126176095202,T3
30007542821185,M1
6767898372459427,T3
6333131927248004454,T2
4911495554658706454,M1
56022572453390894,N2
3577182598601634,T6
3588795218292794,N5
5100173409610121,M5
4041379329804257,N1
374622709559867,T2
4745666101460,N3
201659976136242,T5
30484437509938,N4
3548858231423736,T2
3553906864900017,N2
3581411723545398,N3
40415915,M5
630437948140982064,T3
670632832758031829,T4
30140292877006,M4
201770322313235,N3
3529896993846911,M6
5602238850863009,N3
5411143899048847,M5
3548267305249334,M1
6762828472266882414,M4
6304398718677856293,T6
3529052562880598,T6
6375856385690135,M1
3528875140812159,T1
5283853511662925,N5
5002350804722961,T4
337941783507709,M1
3570685003285584,N3
6771336622170683565,N3
3550934011154711,N2
348822692927138,T5
371131200887218,N1
3537606402800437,M5
201503375484045,N5
3554616574693179,T1
3551455417045625,M6
3560531509621058,N4
30100131349062,N2
372301196784120,N2
